employee_id,fullname,nip,company_name,area_name,position_name,department_name,division_name,directorate_name,grade_name,education_name,major_name,years_of_service_months,2021,2022,2023,2024,2025,CEX2021,CEX2022,CEX2023,CEX2024,CEX2025,CSI2021,CSI2022,CSI2023,CSI2024,CSI2025,FTC2021,FTC2022,FTC2023,FTC2024,FTC2025,GDR2021,GDR2022,GDR2023,GDR2024,GDR2025,IDS2021,IDS2022,IDS2023,IDS2024,IDS2025,LIE2021,LIE2022,LIE2023,LIE2024,LIE2025,QDD2021,QDD2022,QDD2023,QDD2024,QDD2025,SEA2021,SEA2022,SEA2023,SEA2024,SEA2025,STO2021,STO2022,STO2023,STO2024,STO2025,VCU2021,VCU2022,VCU2023,VCU2024,VCU2025,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,Papi_A,Papi_B,Papi_C,Papi_D,Papi_E,Papi_F,Papi_G,Papi_I,Papi_K,Papi_L,Papi_N,Papi_O,Papi_P,Papi_R,Papi_S,Papi_T,Papi_V,Papi_W,Papi_X,Papi_Z,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10,Rank11,Rank12,Rank13,Rank14
EMP100010,Maya Jatmiko Handayani,967930,PT VASKA Wellness,Plant,HRBP,IT,Operations,HR & Corp Affairs,V,D3,Engineering,29,2.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,4.0,5.0,1.0,2.0,2.0,4.0,5.0,3.0,2.0,,3.0,4.0,2.0,2.0,1.0,4.0,,3.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,5.0,2.0,,1.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,3.0,,2.0,2.0,,43,61,CI,Conscientious-Influencer,ESTJ,84.0,42.0,2,5.0,7.0,5.0,3.0,6.0,6.0,6.0,7.0,4.0,,2.0,5.0,5.0,2.0,,,5.0,8.0,3.0,5.0,Activator,Includer,Arranger,Developer,Restorative,Relator,Empathy,Context,Analytical,Belief,Connectedness,Focus,Responsibility,Intellection
EMP100011,Fajar Halim,617452,PT Mandala Distribution Center,Distribution,Finance Officer,Operations,Operations,Technology,V,S1,Business,51,3.0,3.0,2.0,5.0,5.0,3.0,3.0,2.0,5.0,,3.0,3.0,2.0,,5.0,,3.0,2.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,2.0,2.0,5.0,0.0,4.0,4.0,2.0,5.0,5.0,3.0,2.0,3.0,5.0,,4.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,45,31,DI,Dominant-Influencer,ENFP,125.0,31.0,10,,2.0,2.0,5.0,3.0,8.0,9.0,4.0,3.0,,,1.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,6.0,Empathy,Intellection,Activator,Deliberative,Adaptability,Individualization,Strategic,Learner,Command,Context,,Relator,Maximizer,Communication
EMP100012,Rendra Tri Purnama,457211,PT Aurora Beauty Indonesia,HQ,Data Analyst,IT,Operations,Commercial,IV,SMA,Statistics,3,,3.0,4.0,4.0,5.0,,3.0,2.0,3.0,2.0,,4.0,1.0,3.0,3.0,,3.0,2.0,1.0,3.0,,3.0,,2.0,4.0,,0.0,2.0,,4.0,,2.0,2.0,2.0,3.0,,2.0,,1.0,4.0,,3.0,2.0,2.0,4.0,,4.0,3.0,2.0,2.0,,3.0,2.0,2.0,3.0,20,70,DS,Dominant-Steadiness,ISFJ,108.0,43.0,10,4.0,2.0,6.0,7.0,7.0,4.0,1.0,5.0,1.0,7.0,8.0,1.0,5.0,1.0,5.0,1.0,3.0,,6.0,4.0,Belief,Empathy,Focus,Positivity,Discipline,Achiever,Harmony,Connectedness,Analytical,Includer,,Intellection,Deliberative,Relator
EMP100013,Maya Mahendra,656829,PT Mandala Distribution Center,Store,Supply Planner,HR,Digital Marketing,HR & Corp Affairs,V,D3,Engineering,3,,2.0,3.0,1.0,2.0,,3.0,3.0,2.0,2.0,,2.0,3.0,1.0,,,3.0,2.0,,3.0,,2.0,,1.0,2.0,,1.0,4.0,1.0,2.0,,2.0,3.0,1.0,2.0,,2.0,4.0,1.0,2.0,,,,2.0,3.0,,2.0,3.0,,3.0,,2.0,3.0,1.0,6.0,88,32,IC,Influencer-Conscientious,ENTP,124.0,33.0,9,3.0,3.0,7.0,9.0,8.0,4.0,,3.0,3.0,4.0,5.0,1.0,7.0,4.0,3.0,9.0,4.0,2.0,,7.0,,Consistency,Adaptability,Restorative,Connectedness,Arranger,Input,Communication,Analytical,Activator,Command,Harmony,Responsibility,Achiever
EMP100014,Wahyu Indrawan,503585,PT Lumo Cosmetics Asia,Plant,Supply Planner,Finance,Product Dev,Commercial,IV,SMA,Design,65,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,,4.0,3.0,,3.0,2.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0,3.0,92,54,SI,Steadiness-Influencer,ISTJ,92.0,24.0,7,5.0,5.0,9.0,9.0,8.0,,4.0,7.0,5.0,1.0,8.0,8.0,7.0,,,2.0,,2.0,9.0,2.0,Empathy,Maximizer,Focus,Significance,Restorative,Ideation,Communication,Woo,Harmony,Intellection,Learner,Achiever,Consistency,Connectedness
EMP100015,Zahra Utama Setiawan,155133,PT Mandala Distribution Center,HQ,Finance Officer,Marketing,Talent Management,HR & Corp Affairs,V,S1,Business,28,3.0,1.0,4.0,3.0,,3.0,1.0,5.0,3.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,1.0,3.0,,4.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,5.0,2.0,4.0,3.0,1.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0,65,77,DC,Dominant-Conscientious,ENFP,,,7,,5.0,7.0,,6.0,7.0,3.0,1.0,1.0,6.0,9.0,7.0,9.0,9.0,1.0,5.0,3.0,7.0,2.0,6.0,Restorative,Analytical,Significance,Achiever,Responsibility,Individualization,Intellection,Strategic,Consistency,Self-Assurance,Arranger,Input,Context,
EMP100016,Dinda Pramudita Ginting,658786,PT Aurora Beauty Indonesia,Store,Supply Planner,R&D,Talent Management,HR & Corp Affairs,IV,D3,Economics,39,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,1.0,2.0,3.0,4.0,,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,,5.0,4.0,3.0,83,93,SI,Steadiness-Influencer,ISTP,97.0,34.0,5,1.0,2.0,,3.0,6.0,4.0,3.0,1.0,8.0,5.0,6.0,8.0,9.0,8.0,3.0,2.0,6.0,4.0,7.0,,Adaptability,Relator,Discipline,Futuristic,Input,Maximizer,Strategic,Positivity,Consistency,Intellection,Belief,Focus,Command,Competition
EMP100017,Fajar Mahendra,583676,PT VASKA Wellness,Distribution,HRBP,IT,Digital Marketing,HR & Corp Affairs,V,S1,Design,95,3.0,4.0,2.0,6.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,,3.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,55,80,CS,Conscientious-Steadiness,ENTJ,107.0,31.0,1,4.0,2.0,6.0,5.0,8.0,3.0,7.0,4.0,1.0,1.0,2.0,6.0,6.0,1.0,6.0,1.0,3.0,3.0,,5.0,Individualization,Positivity,Input,Communication,Empathy,Self-Assurance,Woo,Restorative,Ideation,Maximizer,Belief,Context,Consistency,Command
EMP100018,Arif Ginting,588205,PT Mandala Distribution Center,Plant,Sales Supervisor,IT,Talent Management,Technology,IV,D3,Statistics,53,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,5.0,3.0,,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,,4.0,3.0,3.0,2.0,2.0,,4.0,,2.0,3.0,4.0,,,,3.0,,4.0,2.0,2.0,66,69,SC,Steadiness-Conscientious,ESFJ,,28.0,3,1.0,8.0,1.0,6.0,5.0,1.0,6.0,1.0,4.0,6.0,8.0,8.0,7.0,8.0,5.0,9.0,6.0,9.0,9.0,,Harmony,Arranger,Connectedness,Input,Discipline,Belief,Responsibility,Individualization,Intellection,Deliberative,Command,Woo,Activator,Relator
EMP100019,Rizki Iqbal Gunawan,341900,PT Lumo Cosmetics Asia,Store,HRBP,HR,Digital Marketing,HR & Corp Affairs,III,S2,Statistics,27,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,,,,2.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,99.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,28,72,CD,Conscientious-Dominant,ISTP,125.0,23.0,10,2.0,7.0,4.0,7.0,6.0,9.0,9.0,7.0,2.0,1.0,1.0,3.0,9.0,8.0,4.0,3.0,3.0,,4.0,4.0,Strategic,Discipline,Arranger,,Empathy,Ideation,Command,Maximizer,Communication,Competition,Input,Woo,Consistency,
EMP100020,Yoga Erlangga Hartanto,850478,PT Aurora Beauty Indonesia,Plant,Brand Executive,R&D,Sales,Commercial,IV,SMA,Psychology,31,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,,3.0,4.0,4.0,,3.0,1.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,6.0,4.0,3.0,2.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,,5.0,4.0,4.0,83,83,DC,Dominant-Conscientious,ENFP,132.0,33.0,1,3.0,,6.0,,1.0,8.0,9.0,1.0,6.0,2.0,7.0,5.0,5.0,5.0,9.0,1.0,4.0,2.0,1.0,9.0,Includer,Command,Adaptability,Analytical,,Strategic,Input,Maximizer,,Belief,Empathy,Intellection,Futuristic,Self-Assurance
EMP100021,Oka Candra Kurniawan,828497,PT Lumo Cosmetics Asia,Plant,Brand Executive,Marketing,Product Dev,HR & Corp Affairs,V,S1,Statistics,81,5.0,3.0,4.0,4.0,,,2.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,,4.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,22,34,CS,Conscientious-Steadiness,INFP,,,2,5.0,6.0,2.0,6.0,8.0,5.0,6.0,,2.0,3.0,9.0,4.0,1.0,6.0,5.0,1.0,2.0,1.0,6.0,2.0,Significance,Activator,Futuristic,Self-Assurance,Responsibility,Input,Consistency,Discipline,Relator,Woo,Communication,Includer,Restorative,Deliberative
EMP100022,Oka Nugroho,674733,PT VASKA Wellness,Distribution,Data Analyst,IT,Digital Marketing,HR & Corp Affairs,IV,S2,Economics,53,4.0,3.0,1.0,5.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,1.0,5.0,5.0,,2.0,1.0,,4.0,4.0,3.0,2.0,5.0,4.0,3.0,4.0,1.0,5.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,5.0,4.0,49,94,,Influencer-Conscientious,ISTP,91.0,35.0,8,2.0,3.0,7.0,8.0,3.0,7.0,3.0,1.0,,6.0,,7.0,8.0,9.0,5.0,1.0,8.0,5.0,,2.0,Discipline,Self-Assurance,Strategic,Input,Includer,Focus,,Woo,Harmony,Belief,Command,Learner,Connectedness,Activator
EMP100023,Adit Kurniawan,555024,PT Mandala Distribution Center,HQ,Finance Officer,HR,Digital Marketing,HR & Corp Affairs,IV,SMA,Business,49,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,,1.0,2.0,3.0,2.0,1.0,2.0,,3.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,86,52,DC,Dominant-Conscientious,ESTJ,139.0,30.0,5,2.0,1.0,7.0,4.0,9.0,4.0,5.0,3.0,3.0,5.0,7.0,2.0,3.0,4.0,,2.0,6.0,8.0,5.0,1.0,Arranger,Strategic,Futuristic,Self-Assurance,Focus,Relator,Significance,Woo,Activator,Responsibility,Discipline,Restorative,Belief,Context
EMP100024,Rendra Candra Maulida,884289,PT VASKA Wellness,Distribution,Sales Supervisor,IT,Operations,HR & Corp Affairs,IV,S2,Engineering,44,3.0,,3.0,3.0,5.0,2.0,4.0,,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,6.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,64,23,CD,Conscientious-Dominant,ESTP,134.0,23.0,5,6.0,3.0,5.0,3.0,3.0,9.0,6.0,2.0,1.0,7.0,6.0,5.0,3.0,8.0,8.0,9.0,1.0,2.0,2.0,2.0,Connectedness,Adaptability,Competition,Context,,Focus,Harmony,Responsibility,Positivity,Belief,Communication,Input,Restorative,Achiever
EMP100025,Rizky Dharma Purnama,786831,PT Aurora Beauty Indonesia,Plant,Brand Executive,HR,Talent Management,Technology,V,S1,Design,20,,,4.0,2.0,,,3.0,4.0,2.0,3.0,,4.0,5.0,3.0,3.0,,,4.0,2.0,,,3.0,3.0,2.0,3.0,,3.0,4.0,,3.0,,2.0,5.0,2.0,3.0,,4.0,5.0,1.0,4.0,,,4.0,3.0,,,3.0,5.0,2.0,4.0,,3.0,,2.0,3.0,53,71,CS,Conscientious-Steadiness,ESTJ,,34.0,8,8.0,8.0,6.0,7.0,,2.0,7.0,3.0,,9.0,4.0,5.0,8.0,3.0,1.0,2.0,7.0,4.0,7.0,8.0,Adaptability,Relator,Strategic,,Positivity,Deliberative,Focus,Context,Arranger,Restorative,Responsibility,Analytical,Significance,
EMP100026,Wulan Yudhistira Tamba,926498,PT Mandala Distribution Center,Distribution,HRBP,HR,Talent Management,HR & Corp Affairs,IV,SMA,Economics,65,3.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,,3.0,4.0,,4.0,,4.0,5.0,2.0,3.0,1.0,,5.0,3.0,,2.0,4.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0,5.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,1.0,3.0,5.0,96,37,IS,Influencer-Steadiness,ESFJ,107.0,32.0,4,7.0,8.0,5.0,2.0,6.0,9.0,4.0,1.0,7.0,2.0,7.0,5.0,6.0,4.0,7.0,3.0,5.0,7.0,9.0,,Competition,Harmony,Deliberative,Focus,Maximizer,Individualization,Developer,Ideation,Intellection,Learner,Command,Connectedness,,Significance
EMP100027,Oka Rohman,176075,PT Lumo Cosmetics Asia,Plant,Data Analyst,Finance,Talent Management,Commercial,V,S2,Design,132,,1.0,3.0,3.0,1.0,4.0,,2.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,5.0,,2.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,,1.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,,3.0,1.0,5.0,1.0,3.0,3.0,2.0,93,76,SC,Steadiness-Conscientious,INFP,97.0,18.0,9,,9.0,9.0,,6.0,2.0,6.0,6.0,5.0,5.0,1.0,6.0,9.0,2.0,1.0,6.0,3.0,5.0,4.0,2.0,Discipline,Includer,Command,Arranger,Deliberative,Ideation,Competition,,Achiever,Learner,Belief,Harmony,Futuristic,Analytical
